,posteam,Player,play_class,Play Count
0,ARI,A.Isabella,pass deep left,4
1,ARI,A.Isabella,pass deep middle,2
2,ARI,A.Isabella,pass deep right,5
3,ARI,A.Isabella,pass short left,13
4,ARI,A.Isabella,pass short middle,10
5,ARI,A.Isabella,pass short right,14
6,ARI,A.Isabella,run left end,2
7,ARI,A.Isabella,run right end,3
8,ARI,A.Morris,run middle,1
9,ARI,B.Hundley,run middle,2
10,ARI,B.Hundley,run right end,3
11,ARI,C.Clay,pass deep left,4
12,ARI,C.Clay,pass short left,9
13,ARI,C.Clay,pass short middle,5
14,ARI,C.Clay,pass short right,6
15,ARI,C.Edmonds,pass deep middle,1
16,ARI,C.Edmonds,pass deep right,1
17,ARI,C.Edmonds,pass short left,53
18,ARI,C.Edmonds,pass short middle,18
19,ARI,C.Edmonds,pass short right,38
20,ARI,C.Edmonds,run left end,39
21,ARI,C.Edmonds,run left guard,16
22,ARI,C.Edmonds,run left tackle,15
23,ARI,C.Edmonds,run middle,110
24,ARI,C.Edmonds,run right end,15
25,ARI,C.Edmonds,run right guard,9
26,ARI,C.Kirk,pass deep left,10
27,ARI,C.Kirk,pass deep middle,10
28,ARI,C.Kirk,pass deep right,41
29,ARI,C.Kirk,pass short left,49
30,ARI,C.Kirk,pass short middle,34
31,ARI,C.Kirk,pass short right,111
32,ARI,C.Kirk,run left end,10
33,ARI,C.Kirk,run middle,1
34,ARI,C.Kirk,run right end,3
35,ARI,C.Streveler,run left end,1
36,ARI,C.Streveler,run middle,2
37,ARI,C.Williams,pass deep left,8
38,ARI,C.Williams,pass deep middle,5
39,ARI,C.Williams,pass deep right,2
40,ARI,C.Williams,pass short left,11
41,ARI,C.Williams,pass short middle,9
42,ARI,C.Williams,pass short right,11
43,ARI,C.Williams,run right end,1
44,ARI,D.Arnold,pass deep left,4
45,ARI,D.Arnold,pass deep middle,8
46,ARI,D.Arnold,pass deep right,9
47,ARI,D.Arnold,pass short left,8
48,ARI,D.Arnold,pass short middle,13
49,ARI,D.Arnold,pass short right,13
50,ARI,D.Byrd,pass deep left,7
51,ARI,D.Byrd,pass deep middle,2
52,ARI,D.Byrd,pass short left,33
53,ARI,D.Byrd,pass short middle,2
54,ARI,D.Byrd,pass short right,2
55,ARI,D.Coleman,pass deep left,1
56,ARI,D.Coleman,pass short left,1
57,ARI,D.Coleman,pass short right,1
58,ARI,D.Coleman,run middle,2
59,ARI,D.Daniels,pass deep right,2
60,ARI,D.Daniels,pass short left,3
61,ARI,D.Daniels,pass short middle,3
62,ARI,D.Daniels,pass short right,7
63,ARI,D.Foster,pass short left,1
64,ARI,D.Foster,run middle,2
65,ARI,D.Hopkins,pass deep left,19
66,ARI,D.Hopkins,pass deep middle,4
67,ARI,D.Hopkins,pass deep right,3
68,ARI,D.Hopkins,pass short left,103
69,ARI,D.Hopkins,pass short middle,21
70,ARI,D.Hopkins,pass short right,10
71,ARI,D.Hopkins,run left end,1
72,ARI,D.Johnson,pass deep left,3
73,ARI,D.Johnson,pass deep middle,1
74,ARI,D.Johnson,pass deep right,5
75,ARI,D.Johnson,pass short left,48
76,ARI,D.Johnson,pass short middle,17
77,ARI,D.Johnson,pass short right,49
78,ARI,D.Johnson,run left end,18
79,ARI,D.Johnson,run left guard,20
80,ARI,D.Johnson,run left tackle,23
81,ARI,D.Johnson,run middle,203
82,ARI,D.Johnson,run right end,27
83,ARI,D.Johnson,run right guard,25
84,ARI,E.Turner,pass short right,1
85,ARI,J.Gresham,pass short left,2
86,ARI,J.Gresham,pass short middle,2
87,ARI,J.Gresham,pass short right,8
88,ARI,J.Nelson,pass deep left,3
89,ARI,J.Nelson,pass deep middle,4
90,ARI,J.Nelson,pass deep right,2
91,ARI,J.Nelson,pass short left,4
92,ARI,J.Nelson,pass short right,6
93,ARI,J.Nelson,run left end,2
94,ARI,J.Nelson,run right end,2
95,ARI,J.Phillips,pass deep middle,1
96,ARI,J.Phillips,pass short middle,2
97,ARI,J.Rosen,run left end,1
98,ARI,J.Rosen,run left tackle,1
99,ARI,J.Rosen,run middle,7
100,ARI,J.Rosen,run right end,5
101,ARI,J.Thomas,pass short left,1
102,ARI,J.Tolliver,pass deep right,1
103,ARI,J.Tolliver,pass short left,2
104,ARI,J.Tolliver,pass short middle,1
105,ARI,J.Tolliver,pass short right,2
106,ARI,J.Ward,pass short middle,1
107,ARI,K.Drake,pass short left,29
108,ARI,K.Drake,pass short middle,12
109,ARI,K.Drake,pass short right,25
110,ARI,K.Drake,run left end,36
111,ARI,K.Drake,run left guard,32
112,ARI,K.Drake,run left tackle,32
113,ARI,K.Drake,run middle,180
114,ARI,K.Drake,run right end,37
115,ARI,K.Drake,run right guard,15
116,ARI,K.Johnson,pass deep left,2
117,ARI,K.Johnson,pass deep middle,2
118,ARI,K.Johnson,pass deep right,6
119,ARI,K.Johnson,pass short left,12
120,ARI,K.Johnson,pass short middle,6
121,ARI,K.Johnson,pass short right,37
122,ARI,K.Johnson,run left end,1
123,ARI,K.Murray,run left end,77
124,ARI,K.Murray,run left guard,4
125,ARI,K.Murray,run left tackle,12
126,ARI,K.Murray,run middle,40
127,ARI,K.Murray,run right end,58
128,ARI,K.Murray,run right guard,1
129,ARI,L.Fitzgerald,pass deep left,18
130,ARI,L.Fitzgerald,pass deep middle,14
131,ARI,L.Fitzgerald,pass deep right,19
132,ARI,L.Fitzgerald,pass short left,82
133,ARI,L.Fitzgerald,pass short middle,74
134,ARI,L.Fitzgerald,pass short right,86
135,ARI,M.Crabtree,pass short middle,2
136,ARI,M.Crabtree,pass short right,3
137,ARI,M.Williams,pass deep left,1
138,ARI,M.Williams,pass deep middle,2
139,ARI,M.Williams,pass deep right,1
140,ARI,M.Williams,pass short left,11
141,ARI,M.Williams,pass short middle,2
142,ARI,M.Williams,pass short right,12
143,ARI,P.Cooper,pass deep left,4
144,ARI,P.Cooper,pass deep middle,4
145,ARI,P.Cooper,pass deep right,1
146,ARI,P.Cooper,pass short left,11
147,ARI,P.Cooper,pass short middle,4
148,ARI,P.Cooper,pass short right,9
149,ARI,R.Seals-Jones,pass deep left,6
150,ARI,R.Seals-Jones,pass deep middle,2
151,ARI,R.Seals-Jones,pass deep right,7
152,ARI,R.Seals-Jones,pass short left,22
153,ARI,R.Seals-Jones,pass short middle,14
154,ARI,R.Seals-Jones,pass short right,18
155,ARI,S.Bradford,run middle,1
156,ARI,S.DeValve,pass deep left,1
157,ARI,T.Logan,pass short left,1
158,ARI,T.Logan,pass short middle,1
159,ARI,T.Logan,pass short right,5
160,ARI,T.Logan,run middle,1
161,ARI,T.Logan,run right end,1
162,ARI,T.Sherfield,pass deep left,6
163,ARI,T.Sherfield,pass deep middle,4
164,ARI,T.Sherfield,pass deep right,7
165,ARI,T.Sherfield,pass short left,10
166,ARI,T.Sherfield,pass short middle,6
167,ARI,T.Sherfield,pass short right,15
168,ARI,Z.Zenner,pass short middle,1
169,ARI,Z.Zenner,run right end,2
170,ATL,A.Hooper,pass deep left,12
171,ATL,A.Hooper,pass deep middle,1
172,ATL,A.Hooper,pass deep right,4
173,ATL,A.Hooper,pass short left,62
174,ATL,A.Hooper,pass short middle,45
175,ATL,A.Hooper,pass short right,61
176,ATL,B.Hill,pass short left,14
177,ATL,B.Hill,pass short middle,21
178,ATL,B.Hill,pass short right,11
179,ATL,B.Hill,run left end,23
180,ATL,B.Hill,run left guard,39
181,ATL,B.Hill,run left tackle,32
182,ATL,B.Hill,run middle,22
183,ATL,B.Hill,run right end,18
184,ATL,B.Hill,run right guard,41
185,ATL,B.Powell,pass deep left,1
186,ATL,B.Powell,pass short left,9
187,ATL,B.Powell,pass short middle,1
188,ATL,B.Powell,pass short right,7
189,ATL,B.Powell,run left end,1
190,ATL,B.Powell,run right end,1
191,ATL,C.Blake,pass deep left,3
192,ATL,C.Blake,pass deep middle,1
193,ATL,C.Blake,pass deep right,2
194,ATL,C.Blake,pass short left,19
195,ATL,C.Blake,pass short middle,5
196,ATL,C.Blake,pass short right,12
197,ATL,C.Ridley,pass deep left,42
198,ATL,C.Ridley,pass deep middle,21
199,ATL,C.Ridley,pass deep right,46
200,ATL,C.Ridley,pass short left,89
201,ATL,C.Ridley,pass short middle,39
202,ATL,C.Ridley,pass short right,91
203,ATL,C.Ridley,run left end,10
204,ATL,C.Ridley,run left tackle,1
205,ATL,C.Ridley,run right end,1
206,ATL,D.Freeman,pass short left,32
207,ATL,D.Freeman,pass short middle,23
208,ATL,D.Freeman,pass short right,22
209,ATL,D.Freeman,run left end,27
210,ATL,D.Freeman,run left guard,32
211,ATL,D.Freeman,run left tackle,37
212,ATL,D.Freeman,run middle,35
213,ATL,D.Freeman,run right end,18
214,ATL,D.Freeman,run right guard,21
215,ATL,E.Saubert,pass deep right,1
216,ATL,E.Saubert,pass short middle,3
217,ATL,E.Saubert,pass short right,5
218,ATL,H.Hurst,pass deep left,6
219,ATL,H.Hurst,pass deep middle,3
220,ATL,H.Hurst,pass deep right,3
221,ATL,H.Hurst,pass short left,26
222,ATL,H.Hurst,pass short middle,17
223,ATL,H.Hurst,pass short right,33
224,ATL,I.Smith,pass short left,30
225,ATL,I.Smith,pass short middle,16
226,ATL,I.Smith,pass short right,26
227,ATL,I.Smith,run left end,32
228,ATL,I.Smith,run left guard,32
229,ATL,I.Smith,run left tackle,35
230,ATL,I.Smith,run middle,16
231,ATL,I.Smith,run right end,20
232,ATL,I.Smith,run right guard,23
233,ATL,J.Graham,pass deep middle,2
234,ATL,J.Graham,pass deep right,1
235,ATL,J.Graham,pass short left,5
236,ATL,J.Graham,pass short middle,4
237,ATL,J.Graham,pass short right,3
238,ATL,J.Hardy,pass deep left,1
